DEBUG 2022-12-10 12:27:56,883 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [YardiTOSLog]
DEBUG 2022-12-10 12:27:57,273 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [PREMPHRS]
DEBUG 2022-12-10 12:27:57,630 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [SeniorEventMailConfig]
DEBUG 2022-12-10 12:27:57,988 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [SeniorIncidentResidentCondition]
DEBUG 2022-12-10 12:27:58,530 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [H8EIDHistory]
DEBUG 2022-12-10 12:27:58,863 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [SeniorPOSSecondResidentServices]
DEBUG 2022-12-10 12:27:59,426 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [IPlusWFStep]
DEBUG 2022-12-10 12:27:59,757 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [ImportCommCustomer]
DEBUG 2022-12-10 12:28:00,127 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [DCFResUnitType]
DEBUG 2022-12-10 12:28:00,480 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [VISTAFILEACCESS]
DEBUG 2022-12-10 12:28:00,820 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [ResCrmTemplateDetailFirstContactXRef]
DEBUG 2022-12-10 12:28:01,159 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [AuditTable]
